Model_Name,Rating,Ram(GB),ROM(GB),Screen_Size(in CM),Rear_Camera(MP),Front_Camera(MP),Battery(MaH),Processer,Price,Link_Of_Product
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGUFK4TZ2CJYHJ.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,4 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"10,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGUFK49KDBZUMC.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGUFK4P2H9CY7Y.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2 5G,4.3,8 , 128,16.21 cm,64,16MP,4500,Snapdragon,"17,999",https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUHGYHNEMB&lid=LSTMOBGZBFUHGYHNEMBDASSEQ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUHGYHNEMB.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2 5G,4.4,6 , 128,16.21 cm,64,16MP,4500,Snapdragon,"15,999",https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU3KXMFYHP&lid=LSTMOBGZBFU3KXMFYHPQBLL0Y&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFU3KXMFYHP.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
POCO C51,4,4 , 64 ,16.56 cm,8MP,5MP,5000,Helio,"5,499",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZCQFWM5HZHXX.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2 5G,4.4,6 , 128,16.21 cm,64,16MP,4500,Snapdragon,"15,999",https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUVZCHW6HU&lid=LSTMOBGZBFUVZCHW6HUXFPFXB&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUVZCHW6HU.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2 5G,4.3,8 , 128,16.21 cm,64,16MP,4500,Snapdragon,"17,999",https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU2GHZTMGN&lid=LSTMOBGZBFU2GHZTMGNEFEQUV&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFU2GHZTMGN.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
POCO C55,4.2,4 , 64 ,17.04 cm,50MP,5MP,5000,Mediatek,"6,299",https://www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGMXSWFYZYWKTD.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 256,17.07 cm,108MP,5MP,5000,Domestic,"20,949",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSXZZMMY&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZJ3ZFQ8AKKRS.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
